fred_series_id,description,category,frequency,datasource,num_revisions,file_type,filename,release_delay
DFF,Daily_Fed_Funds,M,daily,ALFRED,1,latest,M_DFF_Daily_Fed_Funds_latest.csv,T+1
DGS10,10Y_Treasury,M,daily,ALFRED,1,latest,M_DGS10_10Y_Treasury_latest.csv,T+1
DGS2,2Y_Treasury,M,daily,ALFRED,1,latest,M_DGS2_2Y_Treasury_latest.csv,T+1
DGS3MO,3M_TBill,M,daily,ALFRED,1,latest,M_DGS3MO_3M_TBill_latest.csv,T+1
DTB1YR,1Y_TBill_Mkt,M,daily,ALFRED,1,latest,M_DTB1YR_1Y_TBill_Mkt_latest.csv,T+1
DTB3,3M_TBill_Mkt,M,daily,ALFRED,1,latest,M_DTB3_3M_TBill_Mkt_latest.csv,T+1
DTB6,6M_TBill_Mkt,M,daily,ALFRED,1,latest,M_DTB6_6M_TBill_Mkt_latest.csv,T+1
FEDFUNDS,Fed_Funds_Rate,M,monthly,ALFRED,1,latest,M_FEDFUNDS_Fed_Funds_Rate_latest.csv,M+1d (monthly avg of daily)
T10Y2Y,10Y_2Y_Spread,M,daily,ALFRED,1,latest,M_T10Y2Y_10Y_2Y_Spread_latest.csv,T+1
T10Y3M,10Y_3M_Spread,M,daily,ALFRED,1,latest,M_T10Y3M_10Y_3M_Spread_latest.csv,T+1
HOUST,Housing_Starts,N,monthly,ALFRED,3,revision_timeline,N_HOUST_Housing_Starts_revision_timeline.csv,N/A (actual release dates in data)
PERMIT,Building_Permits,N,monthly,ALFRED,3,revision_timeline,N_PERMIT_Building_Permits_revision_timeline.csv,N/A (actual release dates in data)
M2SL,M2_Money_Stock,O,monthly,ALFRED,2,revision_timeline,O_M2SL_M2_Money_Stock_revision_timeline.csv,N/A (actual release dates in data)
M2V,M2_Velocity,O,quarterly,ALFRED,2,revision_timeline,O_M2V_M2_Velocity_revision_timeline.csv,N/A (actual release dates in data)
USALOLITONOSTSAM,OECD_CLI_US,R,monthly,ALFRED,1,latest,R_USALOLITONOSTSAM_OECD_CLI_US_latest.csv,M+6w (OECD Composite Leading Indicator)
A455RC1Q027SBEA,GVA_NFC,T,quarterly,ALFRED,1,latest,T_A455RC1Q027SBEA_GVA_NFC_latest.csv,"Q+10w (BEA NIPA, integrated accounts)"
A460RC1Q027SBEA,Compensation_NFC,T,quarterly,ALFRED,1,latest,T_A460RC1Q027SBEA_Compensation_NFC_latest.csv,"Q+10w (BEA NIPA, integrated accounts)"
BOGZ1FA106300011Q,Capital_Consumption_NFC,T,quarterly,ALFRED,1,latest,T_BOGZ1FA106300011Q_Capital_Consumption_NFC_latest.csv,Q+10w (Fed Z.1 Financial Accounts)
